\,A,T,9,8,7,6,5,4,3,2
AA,-0.0733,0.2091,0.4140,0.5452,0.6459,0.7261,0.6564,0.6198,0.5790,0.5356
22,-0.5571,-0.5184,-0.3217,-0.1523,-0.0219,0.0618,-0.0156,-0.0483,-0.1130,-0.1604
33,-0.5853,-0.5685,-0.3599,-0.2075,-0.0729,-0.0046,-0.0677,-0.1197,-0.1750,-0.2103
44,-0.6209,-0.6042,-0.4124,-0.2548,-0.1284,-0.0277,-0.0895,-0.1475,-0.2318,-0.2650
55,-0.6553,-0.6600,-0.4669,-0.3182,-0.2063,-0.0536,-0.1217,-0.1781,-0.2497,-0.3051
66,-0.6963,-0.7030,-0.5173,-0.3739,-0.2680,-0.0818,-0.1461,-0.2029,-0.2800,-0.3330
77,-0.7367,-0.6852,-0.5233,-0.3798,-0.1512,-0.0125,-0.0951,-0.1580,-0.2315,-0.2903
88,-0.5937,-0.5698,-0.3853,-0.1243,0.1099,0.1471,0.0456,-0.0143,-0.0694,-0.1112
99,-0.4147,-0.4015,-0.1083,0.1473,0.2816,0.3002,0.2221,0.1708,0.0992,0.0681
TT,-0.2161,-0.1051,0.1766,0.3379,0.4401,0.4726,0.4208,0.3673,0.3141,0.2711
