\,A,T,9,8,7,6,5,4,3,2
AA,-0.0497,0.2607,0.5158,0.6884,0.8113,0.9525,0.9109,0.8286,0.7530,0.7009
22,-0.6173,-0.6363,-0.3872,-0.1840,-0.0175,0.1933,0.1533,0.0722,-0.0232,-0.0995
33,-0.6738,-0.7019,-0.4620,-0.2899,-0.1297,0.0984,0.0743,-0.0163,-0.1310,-0.2021
44,-0.7288,-0.7815,-0.5627,-0.3794,-0.2305,0.1767,0.1535,0.0197,-0.2123,-0.2873
55,-0.7929,-0.8683,-0.6552,-0.4998,-0.3567,0.1275,0.1112,-0.0016,-0.1334,-0.2314
66,-0.8280,-0.9114,-0.7120,-0.5534,-0.4108,0.1132,0.1095,-0.0101,-0.1397,-0.2524
77,-0.8077,-0.8397,-0.6680,-0.4849,-0.1424,0.2260,0.1833,0.0643,-0.0552,-0.1659
88,-0.6310,-0.7019,-0.4807,-0.1147,0.2226,0.4182,0.3362,0.2343,0.1240,0.0216
99,-0.4320,-0.4787,-0.0997,0.2663,0.4336,0.5899,0.5215,0.4215,0.3189,0.2284
TT,-0.1821,-0.0713,0.3192,0.5125,0.6426,0.7824,0.7333,0.6506,0.5466,0.4784
