\,A,T,9,8,7,6,5,4,3,2
20,0.2304,0.4906,0.7490,0.7689,0.7496,0.6827,0.6576,0.6454,0.6384,0.6288
19,-0.0625,0.0679,0.3222,0.5630,0.5665,0.4614,0.4108,0.3977,0.3780,0.3629
18,-0.3453,-0.1891,-0.1207,0.1168,0.3434,0.2301,0.1562,0.1326,0.1072,0.0813
17,-0.6284,-0.4423,-0.3935,-0.3425,-0.1259,-0.0415,-0.1059,-0.1368,-0.1763,-0.2035
16,-0.7704,-0.5671,-0.5288,-0.4888,-0.4512,-0.2051,-0.2338,-0.2805,-0.3196,-0.3535
15,-0.7721,-0.5636,-0.5307,-0.4930,-0.4497,-0.2052,-0.2347,-0.2743,-0.3155,-0.3597
14,-0.7706,-0.5675,-0.5251,-0.4925,-0.4534,-0.2061,-0.2317,-0.2831,-0.3191,-0.3486
13,-0.7676,-0.5680,-0.5308,-0.4920,-0.4522,-0.2072,-0.2374,-0.2723,-0.3159,-0.3510
12,-0.7683,-0.5611,-0.5268,-0.4911,-0.4528,-0.2017,-0.2363,-0.2725,-0.3152,-0.3522
11,-0.7746,-0.5665,-0.5308,-0.4962,-0.4488,-0.2035,-0.2342,-0.2727,-0.3155,-0.3552
10,-0.7704,-0.5659,-0.5260,-0.4882,-0.4465,-0.2028,-0.2361,-0.2818,-0.3189,-0.3490
9,-0.7677,-0.5609,-0.5349,-0.4889,-0.4535,-0.2072,-0.2355,-0.2773,-0.3195,-0.3540
8,-0.7668,-0.5621,-0.5254,-0.4928,-0.4499,-0.2040,-0.2304,-0.2819,-0.3109,-0.3562
7,-0.7672,-0.5674,-0.5326,-0.4890,-0.4477,-0.2095,-0.2388,-0.2825,-0.3148,-0.3520
6,-0.7690,-0.5634,-0.5286,-0.4893,-0.4531,-0.2036,-0.2363,-0.2817,-0.3188,-0.3586
5,-0.7679,-0.5640,-0.5305,-0.4902,-0.4512,-0.2041,-0.2357,-0.2784,-0.3108,-0.3587
4,-0.7661,-0.5623,-0.5337,-0.4914,-0.4513,-0.2037,-0.2314,-0.2788,-0.3156,-0.3582
A9,0.2227,0.4896,0.7470,0.7690,0.7485,0.6891,0.6532,0.6480,0.6403,0.6264
A8,-0.0610,0.0631,0.3272,0.5627,0.5680,0.4650,0.4075,0.3984,0.3793,0.3640
A7,-0.3463,-0.1859,-0.1208,0.1168,0.3412,0.2276,0.1537,0.1347,0.1047,0.0817
A6,-0.6299,-0.4351,-0.3904,-0.3365,-0.1236,-0.0448,-0.1021,-0.1428,-0.1787,-0.2082
A5,-0.7681,-0.5634,-0.5296,-0.4907,-0.4537,-0.1991,-0.2353,-0.2806,-0.3230,-0.3572
A4,-0.7677,-0.5666,-0.5301,-0.4948,-0.4524,-0.2018,-0.2317,-0.2788,-0.3203,-0.3616
A3,-0.7704,-0.5675,-0.5301,-0.4916,-0.4495,-0.2035,-0.2409,-0.2744,-0.3147,-0.3537
A2,-0.7710,-0.5637,-0.5260,-0.4866,-0.4515,-0.2057,-0.2355,-0.2759,-0.3208,-0.3609
AA,-0.7957,-0.5592,-0.5292,-0.4946,-0.4491,-0.2065,-0.2364,-0.2760,-0.3194,-0.3573
